qid,tid,,
1,41,,"insert into question_tag (qid, tid) values(1, 41);"
2,15,,"insert into question_tag (qid, tid) values(2, 15);"
3,23,,"insert into question_tag (qid, tid) values(3, 23);"
4,33,,"insert into question_tag (qid, tid) values(4, 33);"
5,10,,"insert into question_tag (qid, tid) values(5, 10);"
6,35,,"insert into question_tag (qid, tid) values(6, 35);"
7,27,,"insert into question_tag (qid, tid) values(7, 27);"
8,35,,"insert into question_tag (qid, tid) values(8, 35);"
9,11,,"insert into question_tag (qid, tid) values(9, 11);"
10,22,,"insert into question_tag (qid, tid) values(10, 22);"
11,26,,"insert into question_tag (qid, tid) values(11, 26);"
12,37,,"insert into question_tag (qid, tid) values(12, 37);"
13,18,,"insert into question_tag (qid, tid) values(13, 18);"
14,15,,"insert into question_tag (qid, tid) values(14, 15);"
15,19,,"insert into question_tag (qid, tid) values(15, 19);"
16,11,,"insert into question_tag (qid, tid) values(16, 11);"
17,27,,"insert into question_tag (qid, tid) values(17, 27);"
18,26,,"insert into question_tag (qid, tid) values(18, 26);"
19,30,,"insert into question_tag (qid, tid) values(19, 30);"
20,8,,"insert into question_tag (qid, tid) values(20, 8);"
21,20,,"insert into question_tag (qid, tid) values(21, 20);"
22,24,,"insert into question_tag (qid, tid) values(22, 24);"
23,27,,"insert into question_tag (qid, tid) values(23, 27);"
24,4,,"insert into question_tag (qid, tid) values(24, 4);"
25,37,,"insert into question_tag (qid, tid) values(25, 37);"
26,38,,"insert into question_tag (qid, tid) values(26, 38);"
27,4,,"insert into question_tag (qid, tid) values(27, 4);"
28,6,,"insert into question_tag (qid, tid) values(28, 6);"
29,10,,"insert into question_tag (qid, tid) values(29, 10);"
30,25,,"insert into question_tag (qid, tid) values(30, 25);"
31,15,,"insert into question_tag (qid, tid) values(31, 15);"
32,14,,"insert into question_tag (qid, tid) values(32, 14);"
33,14,,"insert into question_tag (qid, tid) values(33, 14);"
34,8,,"insert into question_tag (qid, tid) values(34, 8);"
35,24,,"insert into question_tag (qid, tid) values(35, 24);"
36,14,,"insert into question_tag (qid, tid) values(36, 14);"
37,16,,"insert into question_tag (qid, tid) values(37, 16);"
38,15,,"insert into question_tag (qid, tid) values(38, 15);"
39,23,,"insert into question_tag (qid, tid) values(39, 23);"
40,25,,"insert into question_tag (qid, tid) values(40, 25);"
41,8,,"insert into question_tag (qid, tid) values(41, 8);"
42,8,,"insert into question_tag (qid, tid) values(42, 8);"
43,41,,"insert into question_tag (qid, tid) values(43, 41);"
44,27,,"insert into question_tag (qid, tid) values(44, 27);"
45,5,,"insert into question_tag (qid, tid) values(45, 5);"
46,16,,"insert into question_tag (qid, tid) values(46, 16);"
47,7,,"insert into question_tag (qid, tid) values(47, 7);"
48,1,,"insert into question_tag (qid, tid) values(48, 1);"
49,38,,"insert into question_tag (qid, tid) values(49, 38);"
50,21,,"insert into question_tag (qid, tid) values(50, 21);"
51,14,,"insert into question_tag (qid, tid) values(51, 14);"
52,3,,"insert into question_tag (qid, tid) values(52, 3);"
53,10,,"insert into question_tag (qid, tid) values(53, 10);"
54,38,,"insert into question_tag (qid, tid) values(54, 38);"
55,31,,"insert into question_tag (qid, tid) values(55, 31);"
56,40,,"insert into question_tag (qid, tid) values(56, 40);"
57,7,,"insert into question_tag (qid, tid) values(57, 7);"
58,35,,"insert into question_tag (qid, tid) values(58, 35);"
59,40,,"insert into question_tag (qid, tid) values(59, 40);"
60,26,,"insert into question_tag (qid, tid) values(60, 26);"
61,41,,"insert into question_tag (qid, tid) values(61, 41);"
62,39,,"insert into question_tag (qid, tid) values(62, 39);"
63,37,,"insert into question_tag (qid, tid) values(63, 37);"
64,34,,"insert into question_tag (qid, tid) values(64, 34);"
65,17,,"insert into question_tag (qid, tid) values(65, 17);"
66,34,,"insert into question_tag (qid, tid) values(66, 34);"
67,9,,"insert into question_tag (qid, tid) values(67, 9);"
68,32,,"insert into question_tag (qid, tid) values(68, 32);"
69,25,,"insert into question_tag (qid, tid) values(69, 25);"
70,7,,"insert into question_tag (qid, tid) values(70, 7);"
71,15,,"insert into question_tag (qid, tid) values(71, 15);"
72,5,,"insert into question_tag (qid, tid) values(72, 5);"
73,35,,"insert into question_tag (qid, tid) values(73, 35);"
74,15,,"insert into question_tag (qid, tid) values(74, 15);"
75,30,,"insert into question_tag (qid, tid) values(75, 30);"
76,14,,"insert into question_tag (qid, tid) values(76, 14);"
77,26,,"insert into question_tag (qid, tid) values(77, 26);"
78,41,,"insert into question_tag (qid, tid) values(78, 41);"
79,27,,"insert into question_tag (qid, tid) values(79, 27);"
80,21,,"insert into question_tag (qid, tid) values(80, 21);"
81,10,,"insert into question_tag (qid, tid) values(81, 10);"
82,34,,"insert into question_tag (qid, tid) values(82, 34);"
83,38,,"insert into question_tag (qid, tid) values(83, 38);"
84,31,,"insert into question_tag (qid, tid) values(84, 31);"
85,33,,"insert into question_tag (qid, tid) values(85, 33);"
86,32,,"insert into question_tag (qid, tid) values(86, 32);"
87,17,,"insert into question_tag (qid, tid) values(87, 17);"
88,14,,"insert into question_tag (qid, tid) values(88, 14);"
89,6,,"insert into question_tag (qid, tid) values(89, 6);"
90,16,,"insert into question_tag (qid, tid) values(90, 16);"
91,7,,"insert into question_tag (qid, tid) values(91, 7);"
92,38,,"insert into question_tag (qid, tid) values(92, 38);"
93,13,,"insert into question_tag (qid, tid) values(93, 13);"
94,37,,"insert into question_tag (qid, tid) values(94, 37);"
95,30,,"insert into question_tag (qid, tid) values(95, 30);"
96,19,,"insert into question_tag (qid, tid) values(96, 19);"
97,37,,"insert into question_tag (qid, tid) values(97, 37);"
98,15,,"insert into question_tag (qid, tid) values(98, 15);"
99,13,,"insert into question_tag (qid, tid) values(99, 13);"
100,15,,"insert into question_tag (qid, tid) values(100, 15);"
